blocks-iam	OidcLoginSelectAccountRequest	POST	callback	/api/oidc/callback	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\AuthorizationController.cs	OidcLoginSelectAccountRequest.callback
blocks-iam	DeviceController	GET		/api/device	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DeviceController.cs	Device.<root>
blocks-iam	DeviceController	POST	verify	/api/device/verify	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DeviceController.cs	Device.verify
blocks-iam	DeviceController	POST	decision	/api/device/decision	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DeviceController.cs	Device.decision
blocks-iam	DiscoveryController	GET	/{tenant_id}/.well-known/openid-configuration	/api/{tenant_id}/.well-known/openid-configuration	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DiscoveryController.cs	Discovery./{tenant_id}/.well-known/openid-configuration
blocks-iam	DiscoveryController	GET	/{tenant_id}/.well-known/oauth-authorization-server	/api/{tenant_id}/.well-known/oauth-authorization-server	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DiscoveryController.cs	Discovery./{tenant_id}/.well-known/oauth-authorization-server
blocks-iam	DiscoveryController	GET	/{tenant_id}/.well-known/jwks.json	/api/{tenant_id}/.well-known/jwks.json	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DiscoveryController.cs	Discovery./{tenant_id}/.well-known/jwks.json
blocks-iam	DiscoveryController	GET	/{tenant_id}/jwks.json	/api/{tenant_id}/jwks.json	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DiscoveryController.cs	Discovery./{tenant_id}/jwks.json
blocks-iam	DiscoveryController	POST	/auth-login	/api/auth-login	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\DiscoveryController.cs	Discovery./auth-login
blocks-iam	IamController	POST	permissions/create	/api/iam/permissions/create	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions/create
blocks-iam	IamController	POST	permissions/{id}	/api/iam/permissions/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions/{id}
blocks-iam	IamController	DELETE	permissions/{id}	/api/iam/permissions/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions/{id}
blocks-iam	IamController	POST	roles/create	/api/iam/roles/create	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/create
blocks-iam	IamController	POST	roles/update	/api/iam/roles/update	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/update
blocks-iam	IamController	DELETE	roles/{id}	/api/iam/roles/{id}	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.roles/{id}
blocks-iam	IamController	POST	permissions	/api/iam/permissions	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions
blocks-iam	IamController	GET	permissions/by-severity	/api/iam/permissions/by-severity	d:\OFFICE_PROJECT\ALL_REPOSITORY\PLATFORM_REPO\blocks-iam\server\Api\Controllers\IamController.cs	Iam.permissions/by-severity
